Number,Total_Total,Total_Males,Total_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
Bishan - Total,87320,42260,45060,75040,36220,38820,3190,1560,1630,6490,3240,3260,2590,1240,1350
Bishan East,28310,13420,14880,23910,11290,12620,1260,610,650,2360,1170,1190,780,360,420
Marymount,29620,14680,14940,25630,12700,12930,1020,500,530,2120,1070,1050,850,410,440
Upper Thomson,29390,14160,15230,25500,12230,13280,910,450,450,2010,1000,1010,970,480,490
Boon Lay - Total,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Liu Fang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shipyard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bukit Batok - Total,158030,77480,80550,113460,55320,58140,25240,12520,12730,14950,7650,7300,4380,2000,2380
Brickworks,19820,9800,10020,12620,6250,6360,5440,2730,2700,1380,690,690,380,120,260
Bukit Batok Central,27290,13290,14000,20820,10100,10720,3520,1740,1780,2350,1180,1170,600,260,340
Bukit Batok East,12690,6290,6410,7850,3800,4050,2990,1510,1480,1590,860,730,270,110,150
Bukit Batok South,14930,7360,7570,11140,5450,5690,1780,880,910,1620,840,780,390,190,200
Bukit Batok West,15000,7300,7700,10450,5090,5360,2560,1240,1320,1680,850,830,310,120,190
Gombak,9930,4840,5090,8430,4120,4310,560,260,300,670,340,330,260,130,140
Guilin,12940,6290,6650,8910,4290,4620,1960,960,1000,1600,810,780,470,220,240
Hillview,19300,9290,10000,16680,7960,8720,340,160,180,1210,600,610,1070,580,500
Hong Kah North,26150,13030,13120,16580,8260,8320,6100,3040,3060,2840,1470,1380,640,270,370
Bukit Merah - Total,151250,72730,78520,120830,57490,63350,11430,5850,5580,13980,7110,6870,5010,2290,2730
Alexandra Hill,13490,6630,6860,9850,4770,5080,1950,1000,950,1410,740,670,280,120,160
Alexandra North,2620,1230,1400,2200,1010,1190,20,10,10,230,110,120,180,100,80
Bukit Ho Swee,14390,7050,7340,11570,5570,6000,1290,690,600,1160,620,540,380,180,200
Bukit Merah,1110,550,570,920,450,470,10,-,10,140,70,70,40,20,20
City Terminals,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Depot Road,6540,3090,3450,5290,2480,2820,170,80,90,780,390,390,300,140,160
Everton Park,7810,3680,4120,6240,2910,3330,420,220,190,810,390,420,340,160,180
Henderson Hill,13320,6490,6830,10240,4990,5250,1480,730,750,1240,620,610,370,150,220
Kampong Tiong Bahru,9010,4440,4560,6900,3390,3510,960,520,440,930,470,470,220,80,140
Maritime Square,3620,1770,1850,2570,1230,1340,70,40,30,370,190,180,610,320,300
Redhill,10620,5150,5470,8530,4090,4450,860,430,430,900,490,420,330,150,180
Singapore General Hospital,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Telok Blangah Drive,19320,9170,10140,15760,7430,8330,1340,680,660,1730,870,860,490,200,290
Telok Blangah Rise,12150,5740,6420,9760,4570,5190,700,350,350,1400,690,710,300,130,170
Telok Blangah Way,9230,4610,4620,7100,3520,3580,1010,540,470,930,480,460,180,70,120
Tiong Bahru,12890,5990,6900,11400,5260,6150,250,110,140,780,390,380,460,230,240
Tiong Bahru Station,15120,7140,7980,12500,5830,6660,920,450,470,1170,600,580,530,260,280
Bukit Panjang - Total,138270,68150,70120,102800,50480,52310,21690,10910,10780,10340,5240,5100,3450,1520,1930
Bangkit,22270,11010,11260,16630,8190,8440,3800,1900,1900,1420,740,680,410,170,240
Dairy Farm,6940,3350,3590,5990,2890,3100,110,50,60,430,200,230,400,200,200
Fajar,27820,13870,13950,18950,9380,9570,5950,3070,2880,2270,1150,1120,650,270,370
Jelebu,31310,15370,15940,24700,12100,12610,3770,1880,1880,2100,1060,1050,740,340,400
Nature Reserve,3850,1810,2040,3170,1470,1710,80,30,50,300,150,150,300,160,140
Saujana,25920,12830,13090,18540,9140,9400,4630,2350,2290,2250,1150,1100,510,200,310
Senja,20170,9920,10260,14810,7330,7480,3360,1630,1730,1560,790,770,440,170,270
Bukit Timah - Total,77860,35980,41880,67400,30950,36450,640,250,390,3840,1850,1990,5980,2930,3050
Anak Bukit,21870,10370,11500,19930,9400,10530,210,90,120,880,430,450,850,440,410
Coronation Road,6690,3050,3650,5880,2690,3190,30,10,20,280,130,150,510,220,290
Farrer Court,6180,2900,3280,5430,2540,2890,90,40,50,270,130,140,390,190,200
Hillcrest,9470,4170,5300,7890,3460,4430,60,10,50,580,260,320,950,440,510
Holland Road,10840,4800,6040,9350,4100,5250,60,20,40,510,240,270,920,440,490
Leedon Park,6440,2960,3480,5120,2310,2810,70,20,40,410,200,220,850,430,420
Swiss Club,5340,2470,2880,4540,2060,2480,50,20,30,260,140,120,490,240,250
Ulu Pandan,11020,5280,5740,9260,4390,4880,80,30,50,660,330,330,1020,530,490
Central Water Catchment - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Central Water Catchment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Changi- Total,1850,960,890,820,410,410,620,330,300,320,180,140,90,40,50
Changi Airport,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Changi Point,540,300,240,250,140,110,180,90,90,60,40,20,50,30,20
Changi West,1300,660,650,560,270,290,440,230,210,260,140,120,40,10,20
Changi Bay - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Changi Bay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Choa Chu Kang - Total,192070,95690,96380,133520,66400,67120,35500,17790,17710,18020,9210,8810,5020,2290,2730
Choa Chu Kang Central,22530,11180,11340,17320,8570,8750,2870,1410,1460,1760,920,830,580,280,300
Choa Chu Kang North,31930,15860,16070,22490,11190,11300,5360,2650,2710,3160,1590,1580,910,440,480
Keat Hong,38180,19010,19170,25720,12780,12930,8370,4240,4130,3320,1690,1620,780,290,490
Peng Siang,34720,17340,17390,23160,11540,11610,6990,3510,3480,3730,1900,1830,860,390,460
Teck Whye,24320,12190,12140,15450,7760,7690,5830,2930,2910,2530,1290,1240,510,210,300
Yew Tee,40390,20100,20280,29390,14550,14840,6080,3050,3030,3540,1830,1710,1380,680,700
Clementi - Total,91990,43630,48360,73630,34630,39010,8270,4090,4180,6970,3470,3510,3120,1450,1670
Clementi Central,14000,6600,7400,11190,5250,5950,1420,690,730,940,470,480,440,200,250
Clementi North,28810,13400,15410,23270,10740,12530,2760,1350,1420,1980,970,1020,790,340,450
Clementi West,15260,7310,7950,10940,5170,5770,2190,1100,1090,1700,850,850,440,200,240
Clementi Woods,16000,7660,8340,12430,5880,6560,1630,820,810,1380,680,690,560,280,290
Faber,5360,2620,2740,4840,2370,2470,30,20,20,270,140,130,230,110,130
Pandan,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sunset Way,5650,2640,3010,4740,2190,2550,180,80,90,360,180,180,380,190,190
Toh Tuck,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
West Coast,6870,3370,3500,6190,3020,3170,70,30,40,340,180,160,270,140,140
Downtown Core - Total,3190,1590,1600,2500,1200,1290,30,20,10,200,120,90,460,260,210
Anson,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bayfront Subzone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bugis,890,440,450,800,390,410,10,10,10,40,20,20,40,30,20
Cecil,260,130,130,190,90,100,-,-,-,10,10,10,50,30,20
Central Subzone,880,410,470,650,300,350,10,-,-,60,30,30,160,80,90
City Hall,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clifford Pier,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marina Centre,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Maxwell,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicoll,290,150,140,210,110,100,-,-,-,20,10,10,60,30,30
Phillip,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Raffles Place,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tanjong Pagar,670,350,320,500,240,260,10,-,-,50,40,10,110,70,40
Geylang - Total,110110,54260,55860,85460,41930,43520,12470,6200,6270,8640,4530,4100,3550,1590,1960
Aljunied,39990,19740,20250,33870,16680,17190,2300,1140,1160,2330,1230,1100,1500,690,810
Geylang East,29920,14540,15380,22210,10720,11490,4100,2000,2100,2520,1290,1230,1100,530,570
Kallang Way,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kampong Ubi,11800,5890,5910,8110,4030,4080,2340,1180,1150,1030,540,480,330,130,190
Macpherson,28360,14070,14300,21240,10490,10750,3740,1880,1870,2750,1460,1290,630,240,390
Hougang - Total,227560,111490,116070,184810,90310,94500,18760,9310,9450,18710,9600,9110,5290,2270,3020
Defu Industrial Park,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hougang Central,4720,2350,2370,4130,2070,2060,200,100,100,340,160,180,60,30,30
Hougang East,24920,12110,12810,20400,9940,10460,2010,970,1040,2020,1010,1010,490,190,300
Hougang West,45460,22410,23050,36270,17850,18420,4390,2200,2190,3930,2010,1920,870,350,520
Kangkar,32290,15740,16540,26340,12870,13470,2470,1190,1280,2730,1380,1350,750,310,440
Kovan,24810,11960,12840,22240,10710,11520,550,260,290,1350,670,690,670,330,340
Lorong Ah Soo,32320,15270,17050,27060,12700,14350,2290,1140,1150,2360,1170,1190,620,260,360
Lorong Halus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tai Seng,13830,6670,7160,11370,5440,5930,1130,560,570,1070,570,500,270,110,160
Trafalgar,49200,24950,24240,37000,18710,18290,5720,2900,2820,4920,2640,2280,1560,700,860
Jurong East - Total,78600,38930,39670,55440,27300,28140,12700,6350,6350,8610,4470,4140,1850,810,1040
International Business Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jurong Gateway,450,210,240,410,190,220,-,-,-,30,10,10,10,10,10
Jurong Port,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jurong River,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lakeside (Business),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lakeside (Leisure),1070,570,500,910,480,430,40,20,20,80,50,40,40,20,20
Penjuru Crescent,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Teban Gardens,18530,9250,9280,11490,5730,5760,4590,2270,2320,2110,1110,1000,350,140,210
Toh Guan,14590,7230,7360,11160,5510,5650,1560,770,790,1470,770,700,390,180,210
Yuhua East,24770,12120,12650,17960,8710,9250,3570,1810,1760,2700,1370,1330,550,240,310
Yuhua West,19160,9530,9630,13480,6670,6820,2940,1490,1460,2220,1150,1060,510,230,290
Jurong West - Total,262730,131900,130840,183590,91900,91690,46520,23370,23150,26360,13860,12490,6260,2760,3500
Boon Lay Place,29340,15060,14270,19040,9760,9280,6840,3520,3320,2710,1470,1240,740,310,430
Chin Bee,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hong Kah,53890,26650,27230,36750,18080,18670,10240,5090,5160,5690,2970,2720,1200,510,690
Jurong West Central,63760,31810,31950,49000,24360,24640,7450,3750,3700,5290,2770,2520,2030,940,1090
Kian Teck,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Safti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Taman Jurong,39920,19920,20000,28610,14350,14270,6500,3210,3290,3910,1980,1930,890,380,510
Wenya,8280,4170,4110,5360,2700,2670,1520,770,750,1150,590,560,250,110,140
Yunnan,67500,34250,33250,44790,22630,22160,13970,7040,6930,7600,4080,3520,1150,500,640
Kallang - Total,101290,50040,51260,77010,37540,39460,7000,3600,3400,14510,7630,6880,2780,1270,1510
Bendemeer,37570,18240,19330,31040,14910,16130,1380,690,700,4450,2340,2110,690,300,390
Boon Keng,11790,5630,6160,9530,4540,4990,1090,540,550,890,430,460,280,120,160
Crawford,8380,4630,3750,5670,3120,2550,1600,890,710,900,550,350,220,80,140
Geylang Bahru,11280,5620,5660,8480,4180,4300,1310,670,640,1310,710,600,180,60,120
Kallang Bahru,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kampong Bugis,920,460,460,760,380,380,40,20,30,100,60,40,20,10,10
Kampong Java,10530,5140,5390,8220,3980,4230,330,150,180,1580,830,750,400,170,230
Lavender,9690,5070,4610,6740,3460,3290,840,450,390,1760,990,770,340,180,160
Tanjong Rhu,11110,5230,5880,6560,2970,3590,390,190,190,3520,1730,1800,640,340,300
Lim Chu Kang - Total,110,60,50,100,50,50,-,-,-,-,-,-,-,-,-
Lim Chu Kang,110,60,50,100,50,50,-,-,-,-,-,-,-,-,-
Mandai - Total,2090,990,1100,1650,780,870,110,50,70,270,140,130,60,20,30
Mandai East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mandai Estate,2090,990,1100,1650,780,870,110,50,70,270,140,130,60,20,30
Mandai West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marina East - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marina East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marina South - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marina South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marine Parade - Total,46220,21700,24520,35050,16200,18850,3120,1530,1590,5510,2710,2810,2530,1260,1270
East Coast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Katong,9360,4440,4910,8050,3760,4290,110,60,60,650,340,310,550,290,250
Marina East (Mp),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marine Parade,26880,12530,14350,19860,9080,10780,2940,1440,1490,2650,1320,1330,1430,690,750
Mountbatten,9980,4720,5260,7140,3360,3780,70,40,40,2220,1050,1170,550,280,270
Museum - Total,510,260,250,360,160,190,-,-,-,40,30,10,110,60,50
Bras Basah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dhoby Ghaut,320,160,160,260,130,130,-,-,-,20,10,-,40,20,20
Fort Canning,190,90,90,90,40,60,-,-,-,20,10,10,70,40,30
Newton - Total,8260,3950,4310,6110,2880,3230,60,10,50,750,370,380,1340,690,650
Cairnhill,3880,1830,2060,2910,1360,1550,30,10,20,360,160,200,580,300,290
Goodwood Park,1260,600,660,1020,480,540,-,-,-,70,40,30,160,80,80
Istana Negara,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monk's Hill,1030,520,510,770,390,380,10,-,10,120,60,60,140,70,70
Newton Circus,250,140,110,180,100,80,-,-,-,20,10,10,50,30,20
Orange Grove,1790,840,950,1200,540,660,20,10,10,170,80,90,410,210,190
North-Eastern Islands - Total,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
North-Eastern Islands,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Novena - Total,49330,23930,25400,40720,19660,21060,1730,840,890,4140,2130,2010,2740,1300,1440
Balestier,32430,15670,16760,26610,12820,13790,1600,780,820,3010,1540,1470,1210,520,690
Dunearn,3960,1800,2150,3230,1440,1790,20,10,20,320,160,160,390,200,190
Malcolm,2950,1380,1570,2430,1130,1300,30,10,20,180,90,90,320,150,170
Moulmein,9300,4720,4580,7940,4000,3940,70,30,40,600,320,270,700,370,330
Mount Pleasant,690,350,340,520,270,250,10,-,-,40,20,20,120,60,60
Orchard - Total,920,430,490,630,280,350,20,10,10,80,40,40,200,100,90
Boulevard,410,210,200,290,130,150,10,10,-,20,10,10,90,60,30
Somerset,140,60,80,120,50,70,-,-,-,10,-,-,10,10,10
Tanglin,370,170,210,220,100,130,10,-,-,50,30,30,90,40,50
Outram - Total,18340,9210,9130,14910,7370,7550,1650,890,770,1290,720,570,480,230,240
China Square,1430,670,760,1390,650,740,-,-,-,20,10,10,20,10,10
Chinatown,10490,5040,5450,8780,4130,4650,570,310,260,790,410,380,350,190,170
Pearl's Hill,6120,3370,2750,4460,2450,2010,1070,570,500,480,300,180,100,40,60
People's Park,290,140,160,290,130,160,-,-,-,-,-,-,-,-,-
Pasir Ris - Total,147110,72540,74570,98790,48390,50400,29370,14570,14800,13120,6760,6370,5840,2830,3010
Flora Drive,14680,7200,7470,11330,5490,5840,1350,650,700,1400,730,670,590,330,260
Loyang East,2140,1060,1080,1590,800,790,100,50,50,280,140,140,180,80,100
Loyang West,220,100,120,190,80,100,10,10,10,10,-,-,10,-,-
Pasir Ris Central,32240,15750,16490,23710,11510,12190,4700,2290,2420,2630,1380,1250,1200,570,630
Pasir Ris Drive,54420,26940,27480,32300,15900,16400,15080,7520,7560,4840,2470,2370,2200,1040,1160
Pasir Ris Park,7620,3760,3860,5960,2900,3060,790,400,390,560,290,270,320,180,150
Pasir Ris Wafer Fab Park,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pasir Ris West,35790,17720,18070,23710,11700,12010,7330,3660,3670,3410,1740,1680,1340,630,710
Paya Lebar - Total,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Airport Road,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paya Lebar East,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paya Lebar North,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paya Lebar West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Plab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pioneer - Total,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benoi Sector,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gul Basin,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gul Circle,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Joo Koon,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pioneer Sector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punggol - Total,174450,85940,88520,131940,65180,66760,26050,12820,13230,12190,6250,5940,4270,1680,2590
Coney Island,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Matilda,52200,25610,26590,39660,19600,20060,7970,3860,4120,3360,1700,1660,1210,460,750
Northshore,460,230,220,370,190,180,30,20,20,30,20,10,20,10,10
Punggol Canal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Punggol Field,48960,24120,24840,37330,18370,18960,6010,2950,3060,4270,2210,2060,1350,590,760
Punggol Town Centre,22260,10920,11340,17040,8380,8660,3510,1750,1760,1140,570,570,580,220,350
Waterway East,50580,25050,25530,37530,18640,18900,8530,4250,4280,3390,1770,1630,1120,400,720
Queenstown - Total,95930,45120,50820,78220,36370,41850,6940,3390,3550,7060,3600,3470,3710,1760,1950
Commonwealth,7000,3230,3770,5250,2400,2850,1000,490,510,460,240,230,290,110,180
Dover,11080,5260,5820,9260,4340,4920,470,240,240,940,480,450,410,200,210
Ghim Moh,13850,6470,7380,11170,5170,6010,1460,710,750,840,420,430,370,180,190
Holland Drive,12680,5760,6920,10630,4770,5870,960,440,520,620,320,300,460,230,230
Kent Ridge,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Margaret Drive,16090,7710,8380,13770,6540,7230,660,350,310,1110,570,540,550,260,300
Mei Chin,15570,7350,8210,12180,5690,6490,1340,670,670,1640,810,830,410,190,230
National University Of S'pore,240,70,170,220,60,160,-,-,-,10,-,-,20,10,10
One North,720,350,370,460,220,250,-,-,-,50,30,20,200,100,100
Pasir Panjang 1,4510,2200,2300,3890,1880,2010,40,20,20,270,150,130,300,160,140
Pasir Panjang 2,3060,1490,1570,2520,1200,1310,60,40,30,220,120,100,260,140,130
Port,120,60,60,110,60,60,-,-,-,10,-,10,-,-,-
Queensway,270,130,140,200,90,110,10,-,10,20,20,10,30,20,10
Singapore Polytechnic,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tanglin Halt,10590,4960,5630,8470,3920,4550,920,450,470,850,430,410,350,150,200
River Valley - Total,10070,4620,5450,7020,3170,3860,90,30,60,1500,710,790,1460,720,740
Institution Hill,3150,1500,1650,2210,1040,1170,20,10,20,490,240,250,430,210,210
Leonie Hill,3120,1430,1690,2030,920,1110,30,10,20,600,280,330,460,230,240
One Tree Hill,2070,910,1150,1450,630,830,10,-,10,290,130,160,310,150,160
Oxley,1490,670,820,1160,500,660,20,10,10,80,40,40,220,110,110
Paterson,240,110,130,170,70,100,10,-,-,30,20,10,40,20,20
Rochor - Total,13120,6530,6590,9660,4660,5000,600,290,310,2390,1340,1040,480,240,240
Bencoolen,1310,620,690,970,450,520,40,20,20,250,120,130,50,20,30
Farrer Park,2660,1350,1310,1860,920,940,70,30,40,680,390,290,60,20,40
Kampong Glam,120,80,40,40,20,20,10,10,10,60,40,20,10,10,-
Little India,3270,1680,1580,2410,1180,1230,40,20,20,780,460,320,40,20,20
Mackenzie,110,60,50,80,40,40,-,-,-,10,10,10,10,10,-
Mount Emily,1630,770,860,1290,590,710,40,20,20,100,50,40,200,110,90
Rochor Canal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Selegie,210,110,100,130,70,60,-,-,-,60,30,30,20,10,10
Sungei Road,2050,1020,1030,1370,690,690,380,190,190,270,140,130,30,10,20
Victoria,1760,840,920,1510,710,800,30,10,20,180,100,80,50,30,20
Seletar - Total,300,140,160,190,90,100,10,-,-,30,20,20,70,30,40
Pulau Punggol Barat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pulau Punggol Timor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seletar,280,130,150,180,80,100,10,-,-,30,20,10,70,30,40
Seletar Aerospace Park,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sembawang - Total,102640,50710,51930,72910,36000,36920,16680,8160,8520,9360,4860,4500,3680,1690,1990
Admiralty,13920,6860,7060,9780,4830,4950,2250,1090,1160,1350,680,670,550,270,280
Sembawang Central,34800,17060,17740,25130,12270,12860,5180,2550,2630,3180,1620,1560,1310,620,690
Sembawang East,17340,8550,8790,10850,5430,5420,4610,2230,2380,1480,750,720,400,140,270
Sembawang North,25540,12750,12790,17670,8760,8900,4220,2090,2120,2510,1360,1150,1150,530,610
Sembawang Springs,9090,4480,4610,7950,3930,4020,340,150,190,590,300,280,220,100,120
Sembawang Straits,1910,980,930,1510,760,750,90,40,50,260,150,110,60,30,20
Senoko North,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senoko South,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
The Wharves,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sengkang - Total,249370,122480,126890,192870,94710,98170,28560,14120,14440,21690,11010,10680,6240,2640,3600
Anchorvale,48120,23700,24420,37360,18350,19010,5370,2650,2720,4190,2170,2030,1200,530,670
Compassvale,20960,10170,10790,17830,8630,9200,1440,690,750,1290,670,620,400,180,220
Fernvale,58800,28860,29950,45220,22190,23030,8140,4070,4080,3970,2030,1940,1470,570,900
Lorong Halus North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rivervale,59700,29460,30230,44390,21990,22410,7200,3560,3650,6490,3220,3270,1610,700,910
Sengkang Town Centre,61790,30290,31500,48060,23540,24520,6420,3160,3250,5750,2930,2830,1560,660,900
Sengkang West,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Serangoon - Total,116900,56370,60530,98770,47500,51270,4860,2410,2450,10250,5100,5150,3020,1350,1660
Lorong Chuan,8490,4090,4400,7640,3690,3950,50,20,30,470,230,240,320,150,180
Seletar Hills,14700,7250,7460,13060,6430,6630,160,80,90,1030,530,500,460,210,240
Serangoon Central,24760,11800,12960,20750,9830,10920,1030,530,500,2420,1200,1220,560,240,320
Serangoon Garden,36080,17220,18860,29920,14230,15690,1950,970,990,3180,1560,1620,1030,470,570
Serangoon North,15940,7840,8100,12580,6190,6380,1160,570,590,1910,960,950,300,120,180
Serangoon North Ind Estate,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Upper Paya Lebar,16920,8160,8760,14820,7130,7690,510,250,260,1250,620,630,340,160,170
Simpang - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pulau Seletar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Simpang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Simpang South,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tanjong Irau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Singapore River - Total,3260,1540,1730,2300,1030,1270,20,10,10,300,150,150,640,340,300
Boat Quay,130,70,60,90,50,50,-,-,-,10,10,10,30,20,10
Clarke Quay,130,70,50,80,40,40,-,-,-,10,10,-,40,20,10
Robertson Quay,3010,1390,1610,2130,950,1190,20,10,10,280,140,140,570,300,280
Southern Islands - Total,1940,920,1020,1010,450,560,30,10,20,200,100,100,700,370,330
Sentosa,1940,920,1020,1010,450,560,30,10,20,200,100,100,700,370,330
Southern Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Straits View - Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Straits View,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sungei Kadut - Total,750,380,370,640,320,310,-,-,-,90,50,40,20,10,10
Gali Batu,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kranji,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
